COLD_BLAST_FLOW_RATE,O2_FLOW,STEAM_FLOW,HOT_BLAST_TEMP,COAL_RATE_TPH,BFG_CO,BFG_CO2,BFG_H2,UPTAKE_TEMP_AVG,LOWER_K,MIDDLE_K,UPPER_K,HOT_BLAST_PRESSURE,Coke_ASH,Coke_MOISTURE,Coke_VM,Coal_ASH,Coal_VM,Coal_MOIST,I_MOISTURE_COKE,I_SLAGRATE,CIRCUIT_1_HL_MJ_H,CIRCUIT_3_HL_MJ_H,CIRCUIT_4_HL_MJ_H,Burden_CENTRECOKE,Burden_COKE,Burden_NUTCOKE,HM_TEMP (output)
297159.8257,33713.68593,2.857675783,1233.830756,75.99425335,25.58690881,24.79075531,4.23858008,113.960463,1.813023445,0.845372909,0.49150842,3.880259016,17.90174837,3.472679739,0.783431373,10.0069281,14.64078431,0.923529412,4.209477124,297.2843137,10478.30768,69244.67675,1349.906188,32.5315633,92.58983401,7.507283839,1516.5
297229.9259,33715.71182,2.871293973,1233.835905,75.95852781,25.59675084,24.79462846,4.233713508,114.2319041,1.820064932,0.856425024,0.497305341,3.880856722,17.91831699,3.460130719,0.779313725,9.995947712,14.62784314,0.935294118,4.211437908,297.3431373,10461.37987,69199.44714,1361.254808,32.45138305,92.36162869,7.488780705,1516.147059
297259.8888,33713.97319,2.911851576,1233.851304,75.87189282,25.61891094,24.81040949,4.227717217,114.3691585,1.807276929,0.859509757,0.498163924,3.877561186,17.93488562,3.447581699,0.775196078,9.98496732,14.61490196,0.947058824,4.213398693,297.4019608,10449.58502,69223.43347,1389.561498,32.35431639,92.08536203,7.466380705,1515.676471
297269.0349,33714.89262,2.921526231,1233.873626,75.84258158,25.63264935,24.81495681,4.226923728,114.6616856,1.799358972,0.858682007,0.496246542,3.873332442,17.95145425,3.43503268,0.771078431,9.973986928,14.60196078,0.958823529,4.215359477,297.4607843,10434.41026,69253.72776,1427.162041,32.38144736,92.16258094,7.472641697,1515.088235
297275.9887,33715.63523,2.941002168,1233.883282,75.79183152,25.64086398,24.82334172,4.224838406,114.1928039,1.792509715,0.857314712,0.494010248,3.868880599,17.96802288,3.42248366,0.766960784,9.963006536,14.58901961,0.970588235,4.217320261,297.5196078,10428.84811,69302.24485,1473.935237,32.38513695,92.17308209,7.473493143,1514.5
297223.8851,33715.85214,2.966557962,1233.894778,75.73029066,25.65591649,24.83451516,4.22276136,113.5099707,1.783798295,0.858328604,0.490941458,3.86403412,17.9845915,3.409934641,0.762843137,9.952026144,14.57607843,0.982352941,4.219281046,297.5784314,10437.61138,69479.25953,1526.900113,32.3876833,92.18032939,7.474080761,1513.911765
297211.5882,33719.001,2.966830366,1233.900775,75.73892713,25.67369128,24.8390655,4.221391407,112.5728447,1.773797922,0.858186784,0.487637331,3.858294753,18.00116013,3.397385621,0.75872549,9.941045752,14.56313725,0.994117647,4.22124183,297.6372549,10446.19311,69775.44826,1567.349008,32.40296334,92.22381875,7.477606926,1513.235294
297369.0686,33778.64377,2.952861955,1233.915478,75.88587368,25.68668257,24.8383066,4.223319862,111.5319999,1.764808801,0.854888201,0.48548455,3.853797812,18.01772876,3.384836601,0.754607843,9.930065359,14.55019608,1.005882353,4.223202614,297.6960784,10469.03703,70126.39951,1615.63766,32.40695853,92.23518966,7.478528891,1512.117647
297605.9442,33895.18149,2.971089429,1233.921833,76.04749642,25.71015601,24.84933275,4.221432415,110.4777971,1.754078001,0.850379353,0.484012995,3.849678348,18.03429739,3.372287582,0.750490196,9.919084967,14.5372549,1.017647059,4.225163399,297.754902,10492.02738,70446.58215,1676.447858,32.42037422,92.27337277,7.481624819,1511
297735.1369,33994.19347,2.968626008,1233.945114,76.20754945,25.71092067,24.85278189,4.220062592,109.4258322,1.745147241,0.852235005,0.481612579,3.847765352,18.05086601,3.359738562,0.746372549,9.908104575,14.52431373,1.029411765,4.227124183,297.8137255,10512.43131,70779.00036,1737.134361,32.41832346,92.26753601,7.481151569,1509.852941
